;parent;name;inner.name
0;vuelos;¿Qué es kayak vuelos?;¿Qué kayak?
1;vuelos;¿Qué es kayak vuelos?;¿Cómo se llama el deporte que se practica en canoa?
2;vuelos;¿Cómo encontrar los vuelos más baratos?;¿Cuál es el día más barato para volar?
3;vuelos;¿Cómo encontrar los vuelos más baratos?;¿Cuál es la temporada más baja del año para viajar?
4;vuelos;¿Qué puede volar?;¿Qué es una escala en los vuelos?
5;vuelos;¿Qué puede volar?;¿Qué es un vuelo sin escala?
6;vuelos;¿Qué puede volar?;¿Cuáles son los vuelos charter?
7;vuelos;¿Qué es Edream?;¿Cuáles son los vuelos de cabotaje?
8;vuelos;¿Qué es Edream?;¿Qué es el Chater?
9;vuelos;¿Qué es Edream?;¿Qué es un vuelo One Way?
